system:index,EVI,NDVI,name,.geo
2004_10_31_00000000000000000001,3164,4731,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2004_10_31_00000000000000000002,3044,4817,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2004_10_31_00000000000000000003,3899,6371,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2004_10_31_00000000000000000004,3769,6058,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2004_10_31_00000000000000000005,2984,4565,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2004_11_16_00000000000000000000,2635,3944,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2004_11_16_00000000000000000001,2635,3944,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2004_11_16_00000000000000000002,2635,3973,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2004_11_16_00000000000000000003,3791,5747,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2004_11_16_00000000000000000004,3791,5747,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2004_11_16_00000000000000000005,3336,4678,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2004_12_02_00000000000000000000,2482,4038,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2004_12_02_00000000000000000001,2482,4038,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2004_12_02_00000000000000000002,2439,2569,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2004_12_02_00000000000000000003,3091,5146,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2004_12_02_00000000000000000004,2600,4630,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2004_12_02_00000000000000000005,3754,4260,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2004_12_18_00000000000000000000,2410,3871,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2004_12_18_00000000000000000001,2410,3871,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2004_12_18_00000000000000000002,3156,4817,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2004_12_18_00000000000000000003,3650,6056,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2004_12_18_00000000000000000004,3650,6056,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2004_12_18_00000000000000000005,2827,4220,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_01_01_00000000000000000000,3760,5003,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_01_01_00000000000000000001,3760,5003,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_01_01_00000000000000000002,3760,5003,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_01_01_00000000000000000003,3650,6056,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_01_01_00000000000000000004,3650,6056,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_01_01_00000000000000000005,2827,4220,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_01_17_00000000000000000000,2563,4030,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_01_17_00000000000000000001,2563,4030,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_01_17_00000000000000000002,3028,4673,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_01_17_00000000000000000003,3607,6158,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_01_17_00000000000000000004,2894,5111,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_01_17_00000000000000000005,3364,4779,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_02_02_00000000000000000000,2519,4050,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_02_02_00000000000000000001,2519,4050,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_02_02_00000000000000000002,2345,3859,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_02_02_00000000000000000003,3803,6189,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_02_02_00000000000000000004,3317,5420,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_02_02_00000000000000000005,2885,4455,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_02_18_00000000000000000000,235,147,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_02_18_00000000000000000001,235,147,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_02_18_00000000000000000002,341,207,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_02_18_00000000000000000003,3865,5919,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_02_18_00000000000000000004,3192,5049,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_02_18_00000000000000000005,2024,3318,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_03_06_00000000000000000000,2166,3565,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_03_06_00000000000000000001,2166,3565,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_03_06_00000000000000000002,2382,4073,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_03_06_00000000000000000003,2671,5124,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_03_06_00000000000000000004,2440,4677,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_03_06_00000000000000000005,1983,3570,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_03_22_00000000000000000000,3438,5516,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_03_22_00000000000000000001,3438,5516,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_03_22_00000000000000000002,2716,4521,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_03_22_00000000000000000003,3016,5609,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_03_22_00000000000000000004,2400,4708,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_03_22_00000000000000000005,2302,4138,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_04_07_00000000000000000000,2204,3892,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_04_07_00000000000000000001,2204,3892,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_04_07_00000000000000000002,2424,4265,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_04_07_00000000000000000003,3280,5774,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_04_07_00000000000000000004,3280,5774,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_04_07_00000000000000000005,2636,4754,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_04_23_00000000000000000000,2695,4223,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_04_23_00000000000000000001,2695,4223,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_04_23_00000000000000000002,2695,4223,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_04_23_00000000000000000003,3439,5261,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_04_23_00000000000000000004,3392,5160,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_04_23_00000000000000000005,2572,4564,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_05_09_00000000000000000000,2929,4451,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_05_09_00000000000000000001,2929,4451,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_05_09_00000000000000000002,2934,4618,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_05_09_00000000000000000003,3692,6038,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_05_09_00000000000000000004,3729,5885,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_05_09_00000000000000000005,2596,4209,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
